French | English
"personne ne | nobody, no one"
"sinon | otherwise, except, except that"
"auberge de jeunesse | youth hostel, hostel"
"complet | full, complete"
"séjour | stay, visit, visited"
"enregistrer | record, records, recording"
"compagnie aérienne | airline company, airline"
"confirmer | confirm, confirming"
"calme | calm, quiet"
"plaisent | like, please"
créatif | creative
irlandais | Irish
courriel | email
accent | accent
orchestre | orchestra
"enfin | finally, at least, at last"
par contre | however
"plaire | like, please, pleased"
désagréable | unpleasant
"sourire | smiling, smile, to smile"
"raconter | tell, telling, to tell"
"exposition | exhibit, shown"
chauve | bald
"photographie | photography, photograph"
donc | therefore
"guitariste | guitarist, guitar player"
moustache | mustache
"formidable | terrific, greatest"
festival | festival
ananas | pineapple
"juste | just, right, fair"
agneau | lamb
piment | chili pepper
"tarte | tart, pie"
"absolument | absolutely, definitely, certainly"
"renverser | runs, spilled, spill"
boisson fraîche | cold drink
olive | olive
menu | fixed-price menu
franchement | frankly
bistro | café
dégoûtant | disgusting
"pétillant | fizzy, sparkling, dancing"
typiquement | typical
"pourrions | would be able to, could, (we) might"
morue | salted cod
portugais | Portuguese
porc | pork
sauce | sauce
végétarien | vegetarian
bœuf | beef
"poivron | peppers, bell pepper, pepper"
"dès | starting, as of, starting from"
"amour | love, lover, dear"
"frappé | knocked, hit, knock"
dans la vie | for a living
revoir | to see again
"amoureux | lovers, in love, lover"
"calendrier | schedule, calendar"
d'origine | of ... descent
libanais | Lebanese
châtain | brown
"cour | courtyard, yard"
"roux | red-headed, red"
"rendre | making, make, turning in"
"futur | future, elected, intended"
rendre visite | visit
instrument | instrument
"francophone | French-speaking, Francophone"
algérien | Algerian
"culture | education, crop, culture"
"loyer | rent, rented"
"de la famille | families, relative, family"
"courrier | piece of mail, mail"
bienvenu | welcome
"demandé | asked, tried"
"essayé | tried, tried on, tried out"
écran | screen
cœur | heart
urgences | emergency room
"aide | am helping, helps, is helping"
"tirer | pull, draw, pulling"
"tuer | kill, killing"
"urgent | urgent, immediate"
ventre | stomach
"cassé | broken, broke"
aire de jeux | playground
activité | activity
danger | danger
"brûler | burn, runs"
"blessure | injury, hurt"
machine | machine
grave | serious
"saigner | bleeding, bleed, bleeds"
"répondu | answer, replied, answered"
"sang | blood, bloodshed"
"appelle | am calling, is calling, calls"
faire mal | hurt
dansé | danced
"attendu | expected, waited, waited for"
champ | field
profond | deep
large | wide
hip-hop | hip-hop
panne | breakdown
"lune | moon, month"
"essence | petrol (UK), gas (US)"
mouton | sheep
"dessiné | drew, drawn"
"neigé | snowed, snow"
"plu | rained, liked each other, liked oneself"
"camping | campground, camping"
désert | desert
doucement | slowly
"circulation | traffic, circulation"
"sauvage | unsociable, wild"
colline | hill
endroit | place
"mauvaise | bad, wrong"
"tourné | broken, run, filmed"
région | region
"comme | like, as, since"
améliorer | improve
"détail | detail, breakdown, minor point"
"normal | normal, regular"
"répéter | to practice, repeat, runs"
copié sur | copied off
niveau | level
"débutant | starting, beginner, beginning"
capable | capable
"science | sciences, science"
"avancer | put forward, advance, progress"
dur | hard
"règle | ruler, rule, adjust"
compléter | complete
cercle | circle
gomme | eraser
"rappeler | call back, remind, reminding"
trousse | pencil case
"copier | copy, wrote, copying"
"seconde | tenth grade, second, ii"
"imprimer | print, printing"
"éteindre | turn off, put out, putting out"
cliquer | click
"fait mal | hurts, hurt, is hurting"
loisir | hobby
cou | neck
compétition | competition
musclé | muscular
douleur | pain
malien | Malian
"échecs | chess, checkers, failures"
"règles | rulers, handle, rules"
club | club
jamaïcain | Jamaican
intéressé | interested
"accompagner | accompany, chaperones"
sportif | athletic
volleyball | volleyball
"dommage | too bad, a shame"
"le mieux | best, the best"
"sauter | jumping, jump, skipping"
"patiner | skate, to skate, skating"
océan | ocean
hockey | hockey
olympique | Olympic
nerveux | nervous
"prier | (to) pray, pray, praying"
champion | champion
"dieu | god, God"
"gagné | made, win, won"
coup de pied | kick
foot | soccer
joueur | player
morceau | piece
"couper | to cut, cutting, cut"
négatif | negative
commentaire | review
marocain | Moroccan
positif | positive
"fait tomber | dropped, drops"
"serviettes | napkins, towels"
"peu | little, a little, a bit"
canette | can
sénégalais | Senegalese
autre chose | something else
moitié | half
réservé | reserved
moutarde | mustard
fruits de mer | seafood
crevette | shrimp
différence | difference
"habituel | customary, usual, regular"
"hamburger | hamburger, burger"
apéritif | aperitif
voulu | wanted
continué | continued
"faux | off-key, fake, wrong"
"but | goal, objective, purpose"
aventure | adventure
foule | crowd
"appris | learned, learn"
"vrai | true, real"
"article | article, item"
"continuer | continue, to continue"
"par terre | on the floor, on the ground"
"gravement | seriously, gravely, solemnly"
"participer | to participate, to compete, participate"
manifestation | protest
"partager | sharing, share, to share"
opinion | opinion
pu | was able to
"finalement | finally, in the end, after all"
"ouvrier | worker, of the workers, workman"
voter | vote
affiche | poster
en colère | angry
grève | strike
changement | change
manifester | protest
"décider | to decide, decide, decided"
"condition | condition, term, rank"
"national | national, nationwide"
brouillard | fog
n'importe quelle | any
"golf | golf course, golf"
s'écrit | spelled
international | international
"course | race, errand"
"déplacer | move, changed"
"n'importe quel | any, just any, whatever"
serait-il possible | would it be possible
messieurs | gentlemen
mesdames | ladies
insupportable | unbearable
vôtres | yours
vôtre | yours
"garder | retain, watching, keeping"
"nuageux | cloud, cloudy"
côté | side
"siège | seat, sits"
nôtres | ours
"queue | line, handle, hull"
nôtre | ours
portail | gate
"moyen | average, way"
"promenade | walk, promenade"
devriez | should
pourriez | could
"exactement | exactly, precisely"
voudriez | would like
quai | platform
retard | delay
annulation | cancellation
"brosse | brushes, brush, am brushing"
crème solaire | sunscreen
"peau | skin, peel"
"autant | as much, as many, for all that"
de pire en pire | getting worse and worse
coiffe | does hair
coiffez | do your hair
sien | hers
sandale | sandal
pourrait | could
"voudrait | would like, would want"
"pire | worse, worst"
"inquiéter | worrying, worry"
"raide | straight, steep"
moche | ugly
pâle | pale
"peigne | comb, combing, paint"
pourrais | could
coiffeur | hairstylist
maquillage | makeup
shampoing | shampoo
"occuper | occupy, keep busy"
savon | soap
réveillant | waking up
partant | leaving
garant | parking
zone | area
"humeur | mood, humor"
ventilateur | fan
cauchemar | nightmare
"dedans | inside, inwards"
"cherchant | looking for, searching for"
lion | lion
canard | duck
lumière | light
robinet | faucet
"marchant | walking, working, operating"
"sortant | coming out, getting out, going out"
brosse à dents | toothbrush
"insecte | insect, bug"
singe | monkey
lavabo | sink
"crier | screaming, to shout, shouting"
ouvrant | opening
"arrivant | coming, arriving"
pas encore | not yet
"entrant | entering, going in"
"bagages | luggage, baggage"
rat | rat
serpent | snake
"descendant | getting off, getting out of, going down"
ours | bear
cabine d'essayage | fitting room
"regardant | looking, watching, looking at"
allant | going
terrible | terrible
"vue | view, vision, seen"
"choix | selection, choice"
clairement | clearly
"marque | scores, brand, score"
"bête | beast, silly"
"publicité | advertisement, commercial"
"désirer | wishes, wish, want"
lunettes de soleil | sunglasses
miennes | mine
"déranger | bothering, bother"
cool | cool
miens | mine
"tiens | hold, care, here"
"réfléchir | thinking, think, think about it"
"rose | pink, rose"
"tienne | yours, keep"
"promotion | sale, promotion, promotion list"
mienne | mine
clair | clear
"offre | giving, is giving, gives"
mien | mine
tien | yours
lesquelles | which
lesquels | which
suffisant | enough
"supposer | assume, (to) postulate, (to) presuppose"
"pourtant | yet, though, however"
sec | dry
"haricot | kidney bowl, bean, beans"
"griller | grill, toast, grilling"
"cru | thought, believed, raw"
"conseil | piece of advice, advice, meeting"
à point | medium rare
"cuit | cooked, baked"
doigt | finger
steak | steak
saignante | rare
mangue | mango
camembert | camembert
pourboire | tip
"goûter | try, tried, to taste"
"obliger | force, forced"
"pâtisserie | pastry shop, pastry, cake shop"
en entrée | as a starter
"accepter | accepting, accept, accepted"
invitation | invitation
"remercier | thanking, thank"
laquelle | which one
lequel | which one
"fort | strong, loud, heavy"
depuis longtemps | for a long time
cigarette | cigarette
"satisfait | satisfied, serves"
humoriste | comedian
mécanicien | mechanic
"certain | fixed, definite, certain"
machine à café | coffee machine
collège | middle school
"enseigner | to teach, taught, teaching"
repos | rest
au foyer | stay-at-home
"professionnel | professional, professionally"
"gérant | managing, manager, operating"
agriculteur | farmer
dentiste | dentist
"depuis | since, for, since then"
poste | position
"sérieusement | seriously, considerably, her"
carrière | career
habituer | get used
"beaucoup trop | way too many, way too"
"bu | drank, drunk"
"ciseaux | scissors, scissors jump, scissors hold"
blesser | injure
"boulot | job, work"
reposer | rest
sombre | dark
marier | marry
correctement | appropriately
allonger | lie down
homme d'affaires | businessman
dinosaure | dinosaur
"habiller | dressed, get dressed, dress"
uniforme | uniform
"milieu | middle, middle ground, environment"
"rêve | am dreaming, dreams, is dreaming"
"sauront | will know, will now how"
devront | will have to
"pourront | (they) will be able to, (they) will be allowed to"
voudront | will want
ratent | fail
cafétéria | cafeteria
bac | bac
"correct | correct, right"
"devoir | to have to, assignment, to owe"
par cœur | by heart
"pourra | will be able to, can"
bien s'entendre | getting
"devra | will have to, will need to"
faudra | must
erreur | mistake
exemple | example
devras | will have to
"sauras | will know, will know (how)"
pourras | will be able to
"diplôme | diploma, degree, graduating"
"découvrir | get to know, discover, find out"
"pourrai | will be able to, can"
"devrai | will have to, will need to"
"saurai | will know how, will know, know"
"réussir | passing, to succeed, pass"
études | studies
"note | write down, grade, is writing down"
texte | text
skateboard | skateboard
décrire | (to) describe
"couloir | hallway, hall, aisle"
liste | list
espace | space
"laisser | let, leave, leaving"
servent à | are used to
bazar | junk
léger | light
"doux | soft, gentle, mild"
"jeter | to throw away, to throw, throws"
poche | pocket
"spécialement | especially, specially"
"trouvé | found, figuring"
"offert | gave, free, given"
plastique | plastic
"à moi | mine, my turn, all mine"
"poubelle | trash, trash can, garbage"
violet | purple
"utile | useful, relevant"
"mis | put, put in, wear"
"reçu | receive, received, successful"
"paquet | package, box"
truc | thing
"lourd | heavy, softer"
agriculture | agriculture
"chants | crow(ing), songs, odes"
lutins | elves
seront | will be
"auront | will have, must have"
"feront | will go, will make, will do"
"nature | plain, nature"
"iront | will go, will be going"
"snowboard | snowboarding, snowboard"
excursion | excursion
cerf-volant | kite
"décevoir | disappointing, to disappoint, disappoint"
"mariage | marriage, wedding"
"sera | will be, must have"
"fera | will have, make, will do"
"ira | will go, will suit, 'll go"
"aura | will have, will get"
"naviguer | sail, sailing"
tempête | storm
voilier | sailboat
"auras | will have, will get, have"
"feras | will be, will do, will make"
"iras | will go, go"
"pêche | fishing, peach"
"seras | will be, feel, 'll be"
mouiller | wet
serai | will be
"irai | will be going, 'll go, will go"
"ferai | will have, will do, will make"
aurai | will have
vague | wave
"surfer | surf, surfing"
"mettront | will put, will put on"
"nouvelles | new, news"
"attendront | will wait for, will wait"
comprendront | will understand
"prendront | will take, will have, take"
liront | will read
"aimable | friendly, nicer"
instructions | instructions
ambulance | ambulance
blessé | injured
"attendra | will wait for, will wait, 'll wait for"
"prendra | will have, will get, will be taking"
médecine | medicine
"apprendra | will study, will learn"
répondra | will answer
"lira | will read, will be reading"
patient | patient
"attendras | will wait, will wait for"
"diras | will tell, will say"
répondras | will answer
"prendras | will have, will take"
salle d'attente | waiting room
rendez-vous | appointment
infirmier | nurse
"prendrai | will have, will get, will take"
boirai | will drink
"mettrai | will put, will put on"
"attendrai | will wait for, will wait"
"médicament | medication, medicine"
"docteur | doctor, dr."
"pansement | band-aid, bandage"
"rentreront | will go back, will come home"
visiteront | will visit
danseront | will dance
nageront | will swim
mangeront | will eat
inviteront | will invite
roi | king
"partira | will leave, will go"
"arrivera | will arrive, will be able, will get"
"passera | will have, will spend, will be on"
dormira | will sleep
à cause | because
"espérer | trust, (to) hope, hopes"
pilote | pilot
"nageras | will swim, will be swimming"
"parleras | will speak, will talk"
mangeras | will eat
"passeras | will spend, will take, will pass"
"marcheras | will walk, will work"
travailleras | will work
"partiras | will leave, leave, will go"
"parlerai | will talk, will speak"
"voyagerai | will travel, traveled, will be traveling"
dormirai | will sleep
"visiterai | will visit, will be visiting"
resterai | will stay
"étranger | foreigner, stranger, foreign"
touristique | tourist
beaucoup de monde | a lot of people
"il y a eu | there was, there were"
"vendeur | salesperson, sales associate"
"tomber | fall, falling, be announced"
"pousser | grow, push, growing"
"montré | shown, demonstrated, showed"
"se passe | is going, is happening, happens"
aidé | helped
"type | guy, type, sort"
"frapper | knocked, hit, knocking"
policier | police officer
récemment | recently
appelé | called
feu | fire
"pompier | fireman, firefighter"
au secours | help
pendant que | while
voleur | robber
quelque chose de | something
"volé | stolen, flew, stole"
"entendu | hear, heard, understood"
furieux | furious
"pleurer | crying, cry, to cry"
"passe | am passing, am spending, are passing"
"pop | pop, pop music"
théâtre | theater
"dessin | drawing, picture"
star | star
"rêver | dreaming, dream, dreamed"
merveilleux | wonderful
"parle de | is about, about"
"peint | is painting, paints, painted"
"batterie | battery, drums"
"créer | to create, make, create"
"classique | classical, classic, straight"
"art | arts, art"
"s' | each other, themselves, himself"
intéresser | interest
"artiste | artist, performer"
"peinture | painting, paint"
peintre | painter
clown | clown
musicien | musician
nul | bad
violon | violin
"horrible | horrible, terrible"
"rire | laughing, laugh"
peur | fear
pièce de théâtre | play
ridicule | ridiculous
"spectacle | show, shown"
"scène | scene, stage"
"public | audience, public"
tout petit | tiny
"allumez | light, turn on"
"range | put away, am putting away, is tidying"
"allume | turns on, light, turn on"
colocataire | roommate
fauteuil | armchair
moderne | modern
"commande | am ordering, order, orders"
commode | dresser
"disponible | available, free"
pratique | practical
tiroir | drawer
"lave | is washing, wash, washes"
toute neuve | brand new
tout neuf | brand new
lampe | lamp
"tout seul | by myself, by yourself, by himself"
"tasses | mugs, cups"
"toute seule | by myself, by herself, by yourself"
"ménage | housework, household"
"allumer | light, turn on"
"ranger | tidying, tidy up, tidy"
"tapis | rug, carpet, cloth"
coussin | cushion
"rond | circle, round, circular"
fragile | fragile
"rideau | shutter, curtain, screen"
carré | square
"joyeux | happy, cheerful"
"père noël | Santa Claus, Father Christmas, Santa"
temple | temple
"bondé | crowded, busy"
ligne | line
mosquée | mosque
synagogue | synagogue
"chemin | path, way"
bruyant | noisy
sale | dirty
"passe par | go down, goes down"
ne te gare pas | don't park
"n'importe où | wherever, anywhere"
en face | across
"partout | everywhere, all over, throughout"
gare-toi | park
parking | parking lot
"garer | park, parked"
dépêchons-nous | let's hurry up
"se perd | gets lost, get lost"
police | police
dépêche-toi | hurry up
"dépêchez-vous | hurry!, hurry up!"
peut-être | maybe
"permis | license, permit, (I/you) allowed"
autoroute | highway
embouteillage | traffic jam
pneu | tire
s'en fiche | doesn't care
m'en fiche | don't care
"casser | break, breaking, broke"
casque | helmet
trottinette | scooter
"roue | cartwheel, wheel, round"
"en panne | broken down, broken"
"moteur | engine, motor"
moto | motorcycle
garage | garage
scooter | motorized scooter
"réparer | recovered, repair, repaired"
marre | fed up
"pris | gotten, had, busy"
"certainement | certainly, definitely, most probably"
"rater | missed, miss, fail"
couru | run
"pressé | in a rush, in a hurry"
passager | passenger
"voie | see, lane, track"
"mort | dead, died, death"
"morte | dead, died"
grands-mères | grandmothers
mortes | dead
"morts | deaths, died, dead"
grands-pères | grandfathers
"accident | accident, crashes"
"restés | been left, stayed, lived on"
"heureusement | fortunately, it's fortunate, fortunate"
"restées | stayed, stay"
"restée | stay, stayed"
"resté | stay, stayed, continued"
célibataire | single
île | island
"devenue | become, became"
"devenu | become, became"
"devenues | become, became"
"devenus | become, became"
nés | born
vingt et unième | twenty-first
vingtième | twentieth
"nées | born, were born"
"mondial | worldwide, world, global"
guerre | war
siècle | century
née | born
"né | born, was/were born, arisen"
félicitations | congratulations
naître | to be born
mémoire | memory
une fête | a party
"croire | believing, think, believe"
ciné | the movies
rap | rap
"voient | see, are seeing"
jazz | jazz
"recevoir | to receive, receive, receiving"
"soirée | party, evening, evenings"
"retrouver | find, recovered, meet up with"
libre | free
"prévoir | predict, plan"
un de ces jours | one of these days
barbecue | barbecue
"prévu | planned, expect"
"seul | only, lonely, alone"
en boîte | canned
en fait | in fact
resto | restaurant
"frais | cold, cool, fresh"
four | oven
mélanger | mix
chantilly | whipped cream
crème fraîche | crème fraîche
raisin | grapes
recette | recipe
farine | flour
omelette | omelet
curry | curry
"n'y en a plus | isn't any more left, aren't any more left"
"sauf | except, except that, but"
épice | spice
poivre | pepper
"fourchette | fork, wishbone, frog"
sushi | sushi
bol | bowl
"vide | dead, empty"
vegan | vegan
poulet | chicken
saler | cure
alcool | alcohol
"bureau de change | currency exchange, bureau de change, currency exchange counter"
formulaire | form
"information | information, news"
économiser | to save up
"perdu | lost, wasted"
"gagner | win, make, winning"
gratuit | free
"attention | careful, attention, be careful"
"compte | counting, counts, account"
"bancaire | bank, banking"
carte de crédit | credit card
distributeur | ATM
"retirer | getting, dropped, pull"
"code | PIN, code"
"signer | signing, to sign, sign"
"carte | map, menu, card"
sans contact | contactless
"monnaie | change, currency"
en espèces | cash
"chèque | check, cheque"
rugby | rugby
handball | handball
salle de sport | gym
course à pied | running
genou | knee
"soin | care, product, treatment"
au lieu de | instead of
"estomac | stomach, cheek, guts"
"conseiller | recommend, advise, counselor"
"bonbon | piece of candy, candy"
"devrait | should, he'll"
grignoter | to snack
devrais | should
commencer à | start
yoga | yoga
"honte | shame, disgrace"
"faudrait | would have to, should, would need"
forme | shape
"a-t-elle | is she, does she, does she have"
"a-t-il | is he, does he have, does he"
a honte | is ashamed
santé | health
as l'air | look
"en forme | fit, good, in shape"
"envie | desire, want, envies"
habitude | habit
le leur | theirs
la leur | theirs
spécial | special
mode | fashion
"application | application, app"
jeu vidéo | video game
jeu de société | board game
ado | teenager
jouet | toy
web | Web
"chaîne | channel, chain"
reportage | report
vidéo | video
télécharger | to download
"explique | is explaining, explains, am explaining"
lien | link
site | website
j'achète | I'm buying
hebdomadaire | weekly
"quotidien | daily, daily life"
émission | show
"magazine | magazine, show"
"prêter | lend, lending"
"étaient | used to be, were, felt"
"pouvaient | were able to, used to be able to"
"faisaient | were making, made, used to do"
"vivre | to live, (to) live"
"avaient | got, had, have"
"électrique | electrical, electric"
appareil | device
"aviez | got, had, have"
"étions | used to be, were, had"
machine à laver | washing machine
étiez | were
"écrivions | used to write, wrote, use to write"
micro-ondes | microwave
"écrivait | was writing, used to write, wrote"
"prenait | caught, made, ate"
électricité | electricity
"travaillait | was working, worked, used to work"
époque | time
"rarement | rarely, seldom"
"pouvoir | can, be able to, being able to"
en ligne | online
"portables | cell phones, phones"
"facilement | easily, readily"
numérique | digital
pas moi | I don't
"randonnée | hiking, hike, backpacking"
"skier | to ski, skiing"
carte d'identité | ID
en avance | early
tram | tram
stade | stadium
"ça te dit | do you want, how about"
pas ici | not here
"chance | luck, lucky, opportunity"
on y va | let's go
ça vous dit | Do you want
louer | to rent
pas maintenant | not now
allons-y | let's go
Londres | London
à l'étranger | abroad
hélicoptère | helicopter
touriste | tourist
"y | there, it"
"continent | mainland, continent"
"souhaiter | wish, wishes"
"couvrent | cover up, covering up, cover"
"couvrons | work, cover up, covering up"
"accueillent | are hosting, host, receive"
"offrent | give/are giving, offer/are offering, offer"
"couvrez | cover up, covering up, cover"
jeu | game
"accueillez | host/are hosting, host, receive"
"accueillons | are hosting, host, let's welcome"
"offrons | offer, give, let's give"
"offrez | giving, give/are giving, (you-plural) offer/are offering"
"surprise | surprise, surprised"
"offres | offers, (you) buy/are buying, (you) present/are presenting"
"accueilles | host, receive, are hosting"
"couvres | are covering up, cover, work"
parfum | perfume
"suisse | Switzerland, Swiss"
drôle | funny
neveu | nephew
couvrir | to cover up
accueillir | to host
"offrir | to give, (to) offer, (to) buy"
mignon | cute
sexe | sex
naissance | birth
"essayer | try, to try, try on"
"costume | costume, suit"
"imperméable | raincoat, waterproof"
"plein | full, lots"
laine | wool
écharpe | scarf
pull | sweater
chaussette | sock
une autre | another
un autre | another
cravate | tie
"magnifique | wonderful, magnificent, gorgeous"
"collier | necklace, collar"
boucle | buckle
gant | glove
"ceinture | seatbelt, belt"
"casquette | cap, baseball cap"
sac à main | purse
"pièces | coins, rooms, plays"
"billets | tickets, bills"
carte bancaire | debit card
"dépenser | spent, runs, to spend"
portefeuille | wallet
servent | serve
"client | client, customer, guest"
"annuler | cancel, to cancel, undo"
"réservation | reservation, booking"
probablement | probably
"sert | is used for, is serving, serve"
délicieux | delicious
réceptionniste | receptionist
"vers | around, toward, to"
hall | lobby
"servir | serve, serves"
ascenseur | elevator
"couverture | blanket, cover"
bar | bar
"alors | so, then, in that case"
en pause | on break
membre | member
"présenter | introduce, to introduce, presenting"
"personnel | personal, staff"
"bureaux | offices, desks"
"employé | employee, hired"
équipe | team
imprimante | printer
au téléphone | on the phone
"expliquer | to explain, to analyze, to account for"
"pause | break, pause"
secrétaire | secretary
clavier | keyboard
"absent | away, absent"
"donnes | are giving, donate, are donating"
"donne | donates, giving, is giving"
"enveloppe | envelope, covering"
"directeur | principal, director, heads"
document | document
"dossier | folder, file, records"
solution | solution
"gui | mistletoe, boom"
"sapin | fir tree, fir, pine"
décorations | decorations
"internet | Internet, the Internet"
"commander | to order, order, ordering"
concert | concert
"album | album, volume"
presque | almost
"fin | end, thin, ending"
"incroyable | amazing, incredible"
épisode | episode
populaire | popular
"commencé | started, begun"
"déjà | already, ever, again"
deux fois | twice
"emprunter | borrow, to borrow"
"terminer | finish, complete"
une fois | once
adoré | loved
"détesté | hated, hate"
auteur | author
lu | read
"fois | time, times, faiths"
"vu | saw, considering, seen"
n'en | any
oignon | onion
champignon | mushroom
citron | lemon
gramme | gram
carotte | carrot
pain grillé | toast
"kilo | kilogram, kilo"
tranche | slice
poire | pear
"litre | litre (UK), liter (US)"
jambon | ham
cuillère | spoon
saucisse | sausage
"crème | cream, lotion"
"purée | mashed potatoes, puréed"
ail | garlic
"ajouter | friend, to add, add"
huile | oil
"en veux | resent, are mad"
limonade | sparkling lemonade
melon | melon
pastèque | watermelon
champagne | champagne
"par | through, by, per"
"entrés | scored, came in, brought [something] in"
"entrées | starters, admission, entered"
parapluie | umbrella
"venu | came, come"
homme de ménage | cleaning man
"venues | come, visits, came"
venus | came
femme de ménage | cleaning lady
"venue | visit, come, came"
"montés | went up, climbed up, climbed"
"descendues | went down, climb down, gone down"
"montées | climbed up, climbed, climb"
"descendus | get down, climbed down"
"réfrigérateur | refrigerator, fridge"
plafond | ceiling
à l'étage | upstairs
"monté | went up, get on, climbed"
"descendue | came down, come down, climb down"
"descendu | got off, climbed"
montée | climbed
"monter | to climb up, (to) ride, (to) to cover"
toit | roof
"sorti | got out, go out, went out"
"entrée | starter, admission, hall"
"entré | went in, entered, enter"
sous la pluie | in the rain
"entrer | to enter, (to) come in, (to) bring [something] in"
"sortie | went out, exit, trip"
araignée | spider
coton | cotton
sweat-shirt | sweatshirt
"or | gold, and yet, but"
"cuir | leather, ball, hide"
"bracelet | bracelet, wristband"
bague | ring
bleu foncé | dark blue
bon marché | inexpensive
bleu clair | light blue
parfait | perfect
confortable | comfortable
"grossi | gained weight, gain weight"
maigri | lost weight
en promotion | on sale
"plusieurs | several, many"
maillot de bain | swimsuit
"short | shorts, pair of shorts"
paire | pair
maigrir | to lose weight
"rempli | filled up, filled, full"
"grandi | grew up, grew, grown up"
grossir | to gain weight
pyjama | pajamas
grandir | to grow
"choisi | chosen, chose, select"
"remplir | to fill up, (to) to perform, (to) to carry out"
"fini | done, over, finished"
"taille | height, size"
armoire | wardrobe
centre-ville | city center
tellement | so much
"guide | guide, guidebook, guides"
capitale | capital
monument | monument
"plan | map, plan, front"
"retourner | to go back, (to) return, (to) send [something] back"
"voudrions | would like, would want"
proche | close
"perdre | drops, losing, lose"
cathédrale | cathedral
"ouest | west, western"
"mètre | meter, measuring tape"
kilomètre | kilometer
sud | south
nord | north
"traverser | to cross, cross"
"quartier | neighborhood, quarter"
au bout de | at the end of
office de tourisme | tourist office
hôtel de ville | city hall
bureau de poste | post office
"timbre | (he/she/it) stamps, (you) put a stamp on!, tone"
arrondissement | district
"place | parking spot, seat, square"
"souviennent | souvenir, memento, memory"
petite-fille | granddaughter
mamie | grandma
papi | grandpa
petit-fils | grandson
petits-enfants | grandchildren
"deviennent | become, grow, go"
"revient | comes back, is coming back, gets back"
bijoux | pieces of jewelry
bijou | piece of jewelry
"reviennent | are coming back, come back"
"devient | becomes, go, goes"
"revenez | come back, are coming back"
devenons | become
souvenez | remember
"revenons | come back, are coming back"
"devenez | become, get, turn"
"malheureusement | unfortunately, too bad, regrettably"
tante | aunt
fou | wild
"devenir | to become, future, turn"
"revenir | to come back, (to) return, (to) come again"
tout de suite | right away
"adolescent | teenage, teenager, adolescent"
oncle | uncle
biologie | biology
vocabulaire | vocabulary
de classe | of class
au début | at the beginning
"physique | physics, physical, physical appearance"
"chimie | chemistry, alchemy"
"étagère | bookshelf, shelf"
"début | beginning, early, in early"
"histoire | history, story, ado"
manuel | textbook
"semestre | semester, term (UK)"
cahier d'activités | workbook
géographie | geography
"prof | teacher, professor, instructor"
exercice | exercise
grammaire | grammar
mathématiques | math
grâce | thanks
photographe | photographer
paresseux | lazy
"ingénieur | engineer, engineering"
"responsable | supervisor, responsible for, responsible"
ils sont | there are ... of them
agréables | pleasant
sérieuses | serious
timides | shy
"agréable | pleasant, nice, agreeable"
timide | shy
fantastique | fantastic
russe | Russian
indien | Indian
sérieux | serious
tunisien | Tunisian
"cuisinier | cook, chef"
chanteur | singer
"opéra | opera house, opera"
danseur | dancer
employeur | employer
"nettoyé | cleaned, cleaned up"
travaillé | worked
"préparé | made, prepared, produced"
étudié | studied
"lavé | washed, mopped"
"tranquille | calm, quiet"
"jusqu' | up to, until"
"pêché | fished, caught"
autour | around
le long | along
lac | lake
fleuve | river
"mer | sea, seaside"
en ville | in the city
"pendant | while, for, throughout"
carte postale | postcard
nagé | swam
"envoyé | sent, emailing"
à la campagne | in the countryside
"passé | spent, shown, past"
en famille | with family
journée | day
excellent | excellent
"moment | moment, time, minute"
cousin | cousin
dessin animé | cartoon
cuisiné | cooked
"invité | invited, guest, guests"
"écouté | listened, listened to, listen"
chanté | sang
pâtes | pasta
chanson | song
quelqu'un | someone
immédiatement | immediately
"rapidement | quickly, rapidly, fast"
"descend | is going down, goes down, are getting off"
"descendre | get off, to go down, got"
escalier | stairs
"vendez | sell, are selling"
"vendons | are selling, sell"
"bizarre | weird, strange"
"vendent | are selling, sell"
rien du tout | nothing at all
"vend | is selling, sells, sell"
"vendre | to sell, (to) sell out, (to) betray"
"vends | am selling, are selling, sell"
"dormons | sleep, are sleeping"
"longtemps | a long time, for a long time"
"dorment | sleep, are sleeping"
"gares | train stations, stations, park"
aéroports | airports
"conduisent | drive, are driving, walk"
"entendons | hear, are hearing"
dixième | tenth
ennuyeux | boring
au-dessus | above
"zéro | zero, 0"
"degré | level, degree, grades"
"paye | pay, pays, pays for"
voyagé | traveled
par exemple | for example
en bas | downstairs
"en haut | upstairs, up"
possible | possible
"partie | left, part, gone"
t-shirts | T-shirts
n'ai pas | didn't
apporté | brought
"oublié | forgot, forgotten"
n'as pas | didn't
"montre | show, points to, point to"
entendent | hear
"dort | is sleeping, sleeping, sleep"
"entendez | can hear, hear, get along"
"répondez | are answering, are replying, reply to"
"entend | is hearing, hears, hear"
"répondent | reply to, answer, are answering"
"dessine | draw, am drawing, draws"
"conduisons | (we) conduct/are conducting, (we) carry out/are carrying out, go"
"conduit | drive, go, is driving"
"nages | swim, are swimming"
"piscine | pool, swimming pool"
oublier | to forget
"appelles | call, get"
"répondons | are answering, answer, reply"
"bientôt | soon, earlier"
"appelez | call, are calling"
nettoyer | to clean
"sol | floor, ground, soil"
"nettoie | cleans, is cleaning, am cleaning"
"nettoyons | clean, are cleaning"
"nettoies | are cleaning, clean"
aides | help
"aidez | help, are helping"
"sous | under, beneath, cents"
"canapé | couch, canapé"
"boîte | club, box, company"
